,corners,ids
0,"[[[ 84. 602.]
  [173. 600.]
  [174. 689.]
  [ 86. 690.]]]",100
1,"[[[349. 159.]
  [382. 160.]
  [382. 190.]
  [349. 190.]]]",48
2,"[[[ 52. 881.]
  [ 83. 881.]
  [ 83. 913.]
  [ 52. 913.]]]",23
3,"[[[ 57. 744.]
  [ 89. 744.]
  [ 89. 775.]
  [ 57. 775.]]]",22
4,"[[[686. 344.]
  [717. 344.]
  [717. 376.]
  [686. 374.]]]",38
5,"[[[ 56. 809.]
  [ 89. 809.]
  [ 89. 840.]
  [ 57. 840.]]]",24
6,"[[[425. 493.]
  [457. 493.]
  [457. 525.]
  [425. 524.]]]",33
7,"[[[424. 337.]
  [457. 337.]
  [456. 367.]
  [424. 367.]]]",39
8,"[[[845. 504.]
  [876. 504.]
  [876. 535.]
  [845. 535.]]]",30
9,"[[[596. 341.]
  [627. 341.]
  [627. 373.]
  [596. 373.]]]",35
10,"[[[255. 327.]
  [286. 328.]
  [286. 359.]
  [255. 359.]]]",41
11,"[[[ 49. 396.]
  [ 82. 397.]
  [ 82. 428.]
  [ 49. 429.]]]",50
12,"[[[ 969.  912.]
  [1002.  912.]
  [1002.  944.]
  [ 969.  942.]]]",15
13,"[[[589. 499.]
  [620. 500.]
  [619. 531.]
  [589. 530.]]]",32
14,"[[[755. 915.]
  [788. 915.]
  [788. 947.]
  [755. 947.]]]",17
15,"[[[ 986.  527.]
  [1016.  529.]
  [1015.  560.]
  [ 985.  559.]]]",9
16,"[[[ 998.  828.]
  [1030.  828.]
  [1028.  860.]
  [ 998.  859.]]]",14
17,"[[[660. 498.]
  [691. 498.]
  [691. 530.]
  [659. 528.]]]",31
18,"[[[338. 920.]
  [370. 921.]
  [369. 952.]
  [338. 952.]]]",21
19,"[[[183.  45.]
  [215.  45.]
  [216.  78.]
  [183.  78.]]]",54
20,"[[[626. 167.]
  [658. 167.]
  [658. 200.]
  [626. 200.]]]",45
21,"[[[728. 171.]
  [760. 171.]
  [760. 204.]
  [728. 204.]]]",44
22,"[[[170. 323.]
  [202. 323.]
  [202. 356.]
  [171. 356.]]]",42
23,"[[[306. 712.]
  [339. 713.]
  [339. 744.]
  [306. 744.]]]",26
24,"[[[ 989.  383.]
  [1021.  385.]
  [1021.  416.]
  [ 989.  416.]]]",8
25,"[[[ 989.  254.]
  [1022.  254.]
  [1022.  284.]
  [ 989.  286.]]]",10
26,"[[[331. 490.]
  [364. 490.]
  [364. 521.]
  [331. 521.]]]",34
27,"[[[427. 917.]
  [458. 918.]
  [458. 950.]
  [427. 950.]]]",20
28,"[[[431. 160.]
  [463. 161.]
  [461. 192.]
  [431. 191.]]]",47
29,"[[[621. 707.]
  [654. 707.]
  [654. 737.]
  [621. 738.]]]",28
30,"[[[858. 705.]
  [888. 705.]
  [888. 738.]
  [857. 738.]]]",29
31,"[[[ 45. 514.]
  [ 76. 514.]
  [ 75. 547.]
  [ 45. 546.]]]",49
32,"[[[425. 704.]
  [457. 705.]
  [457. 735.]
  [425. 736.]]]",27
33,"[[[ 48. 158.]
  [ 80. 158.]
  [ 80. 189.]
  [ 48. 189.]]]",52
34,"[[[ 51. 275.]
  [ 82. 275.]
  [ 82. 307.]
  [ 51. 307.]]]",51
35,"[[[ 988.  458.]
  [1018.  458.]
  [1018.  491.]
  [ 988.  491.]]]",12
36,"[[[ 992.  593.]
  [1023.  594.]
  [1022.  625.]
  [ 991.  625.]]]",11
37,"[[[810. 181.]
  [841. 181.]
  [841. 213.]
  [810. 212.]]]",43
38,"[[[345. 329.]
  [376. 330.]
  [376. 361.]
  [345. 361.]]]",40
39,"[[[772. 347.]
  [803. 348.]
  [803. 379.]
  [772. 379.]]]",37
40,"[[[193. 722.]
  [224. 722.]
  [224. 753.]
  [192. 753.]]]",25
41,"[[[853. 916.]
  [884. 917.]
  [883. 948.]
  [852. 947.]]]",16
42,"[[[640. 914.]
  [670. 914.]
  [670. 946.]
  [639. 945.]]]",18
43,"[[[ 86.  68.]
  [116.  68.]
  [116. 100.]
  [ 85.  99.]]]",53
44,"[[[530. 916.]
  [561. 917.]
  [560. 948.]
  [530. 948.]]]",19
45,"[[[527. 163.]
  [558. 163.]
  [558. 194.]
  [527. 194.]]]",46
46,"[[[ 998.  755.]
  [1030.  755.]
  [1030.  785.]
  [ 998.  785.]]]",13
47,"[[[848. 351.]
  [879. 351.]
  [878. 382.]
  [848. 382.]]]",36
48,"[[[189. 412.]
 [266. 412.]
 [267. 488.]
 [190. 490.]]]", 34
49,"[[[754. 529.]
  [754. 495.]
  [788. 495.]
  [788. 528.]]]", 97